,canonical_SMILES
201386,COc1ccc(-c2ccc3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4OC)nn23)c(OC)c1
803156,C[C@@]1(c2cc(CNC3(C#N)CC3)c(F)cc2F)CCSC(N)=N1
321848,O=C(N1CCCC1)C(F)(F)c1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1
936851,O=S(=O)(Nc1ncns1)c1ccc2c(c1)OCCN2c1ccc(C(F)(F)F)cc1-c1cn[nH]c1
461702,OC[C@@H]1OC(n2cnc3c2N=CN2C[C@@H](Cc4ccccc4)N=C32)[C@@H](O)[C@H]1O
82521,CC1(C)CC2CC(C)(CN2S(=O)(=O)c2ccc(C(=O)Nc3cccc(S(=O)(=O)N4CCOCC4)c3)cc2)C1
274054,CN(Cc1ccccc1)Cc1nc2cccc3c2n1CCNC3=O
602490,O=C(O)c1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O
213834,COc1cc2ncc(C(N)=O)c(Nc3cccc(F)c3F)c2cc1OC
134878,N=C(N)c1cccc(-n2cccc2C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1
6976,COc1ncc(N2CCOc3ccc(O[C@H]4CCN(C(=O)c5cn(C)cn5)C4)cc32)cc1F
987833,CC(C)(C)OC(=O)N1CCC(CCCCNc2ccc3c(c2)CCS3(=O)=O)CC1
302261,Cc1cc(C)cc(NC(=O)Nc2ccc(-c3cccc4onc(N)c34)cc2)c1
1056038,CC(C)Oc1cc2c(OCC3CCNC(=O)C3)nccc2cc1C(N)=O
771644,CN(c1ncnc2[nH]ccc12)[C@H]1CC[C@H](CS(=O)(=O)N2CC[C@H](CO)C2)CC1
589750,O=S(=O)(c1cncc2ccccc12)N1CCC(CCN2CCN(c3ccc(Cl)c(Cl)c3)CC2)CC1
1090676,CCNc1nc(C2CC2)nc(Cl)c1C
437219,CN(C)S(=O)(=O)c1ccc(Nc2nn([C@]3(CC#N)CC[C@H](N4CC(F)C4)CC3)c3cc[nH]c(=O)c23)cc1
